step,epoch,openalex_id,group_size,mean_reward,mean_R_correctness,mean_R_reasoning,mean_R_adaptation
1,1,SYNTHW0000019,3,0.7666666666666666,0.3333333333333333,0.3,0.13333333333333333
2,1,SYNTHW0000007,3,1.5,1.0,0.3,0.20000000000000004
3,1,SYNTHW0000004,3,0.7666666666666666,0.3333333333333333,0.3,0.13333333333333333
4,1,SYNTHW0000020,3,0.03333333333333336,-0.3333333333333333,0.3,0.06666666666666667
5,1,SYNTHW0000026,3,0.7666666666666666,0.3333333333333333,0.3,0.13333333333333333
6,1,SYNTHW0000035,3,0.7666666666666666,0.3333333333333333,0.3,0.13333333333333333
7,1,SYNTHW0000022,3,0.7666666666666666,0.3333333333333333,0.3,0.13333333333333333
8,1,SYNTHW0000009,3,1.5,1.0,0.3,0.20000000000000004
9,1,SYNTHW0000011,3,0.03333333333333336,-0.3333333333333333,0.3,0.06666666666666667
10,1,SYNTHW0000023,3,0.7666666666666666,0.3333333333333333,0.3,0.13333333333333333
11,1,SYNTHW0000029,3,0.03333333333333336,-0.3333333333333333,0.3,0.06666666666666667
12,1,SYNTHW0000034,3,1.5,1.0,0.3,0.20000000000000004
13,2,SYNTHW0000019,3,0.7666666666666666,0.3333333333333333,0.3,0.13333333333333333
14,2,SYNTHW0000007,3,0.03333333333333336,-0.3333333333333333,0.3,0.06666666666666667
15,2,SYNTHW0000004,3,1.5,1.0,0.3,0.20000000000000004
16,2,SYNTHW0000020,3,0.03333333333333336,-0.3333333333333333,0.3,0.06666666666666667
17,2,SYNTHW0000026,3,0.03333333333333336,-0.3333333333333333,0.3,0.06666666666666667
18,2,SYNTHW0000035,3,0.7666666666666666,0.3333333333333333,0.3,0.13333333333333333
19,2,SYNTHW0000022,3,0.03333333333333336,-0.3333333333333333,0.3,0.06666666666666667
20,2,SYNTHW0000009,3,1.5,1.0,0.3,0.20000000000000004
21,2,SYNTHW0000011,3,0.03333333333333336,-0.3333333333333333,0.3,0.06666666666666667
22,2,SYNTHW0000023,3,0.7666666666666666,0.3333333333333333,0.3,0.13333333333333333
23,2,SYNTHW0000029,3,0.7666666666666666,0.3333333333333333,0.3,0.13333333333333333
24,2,SYNTHW0000034,3,1.5,1.0,0.3,0.20000000000000004
