step,epoch,openalex_id,group_index,reward,R_correctness,R_reasoning,R_adaptation,advantage,initial_label,final_label,revised,revision_probability,parse_error
1,1,SYNTHW0000019,0,1.5,1.0,0.3,0.2,0.7333333333333334,neutral,disruptive,1,0.5,
1,1,SYNTHW0000019,1,-0.7,-1.0,0.3,0.0,-1.4666666666666666,neutral,neutral,0,0.5,
1,1,SYNTHW0000019,2,1.5,1.0,0.3,0.2,0.7333333333333334,neutral,disruptive,0,0.5,
2,1,SYNTHW0000007,0,1.5,1.0,0.3,0.2,0.0,consolidating,consolidating,0,0.5073328075514134,
2,1,SYNTHW0000007,1,1.5,1.0,0.3,0.2,0.0,consolidating,consolidating,0,0.5073328075514134,
2,1,SYNTHW0000007,2,1.5,1.0,0.3,0.2,0.0,disruptive,consolidating,1,0.5073328075514134,
3,1,SYNTHW0000004,0,1.5,1.0,0.3,0.2,0.7333333333333334,neutral,neutral,0,0.5073328075514134,
3,1,SYNTHW0000004,1,-0.7,-1.0,0.3,0.0,-1.4666666666666666,neutral,disruptive,0,0.5073328075514134,
3,1,SYNTHW0000004,2,1.5,1.0,0.3,0.2,0.7333333333333334,neutral,neutral,0,0.5073328075514134,
4,1,SYNTHW0000020,0,-0.7,-1.0,0.3,0.0,-0.7333333333333333,disruptive,disruptive,0,0.5073328075514134,
4,1,SYNTHW0000020,1,-0.7,-1.0,0.3,0.0,-0.7333333333333333,consolidating,disruptive,0,0.5073328075514134,
4,1,SYNTHW0000020,2,1.5,1.0,0.3,0.2,1.4666666666666666,neutral,consolidating,1,0.5073328075514134,
5,1,SYNTHW0000026,0,-0.7,-1.0,0.3,0.0,-1.4666666666666666,neutral,disruptive,0,0.5219858136524729,
5,1,SYNTHW0000026,1,1.5,1.0,0.3,0.2,0.7333333333333334,consolidating,neutral,1,0.5219858136524729,
5,1,SYNTHW0000026,2,1.5,1.0,0.3,0.2,0.7333333333333334,consolidating,neutral,1,0.5219858136524729,
6,1,SYNTHW0000035,0,1.5,1.0,0.3,0.2,0.7333333333333334,consolidating,consolidating,0,0.5366010793535907,
6,1,SYNTHW0000035,1,-0.7,-1.0,0.3,0.0,-1.4666666666666666,consolidating,neutral,0,0.5366010793535907,
6,1,SYNTHW0000035,2,1.5,1.0,0.3,0.2,0.7333333333333334,neutral,consolidating,1,0.5366010793535907,
7,1,SYNTHW0000022,0,-0.7,-1.0,0.3,0.0,-1.4666666666666666,consolidating,neutral,0,0.5438867720552856,
7,1,SYNTHW0000022,1,1.5,1.0,0.3,0.2,0.7333333333333334,neutral,consolidating,1,0.5438867720552856,
7,1,SYNTHW0000022,2,1.5,1.0,0.3,0.2,0.7333333333333334,neutral,consolidating,1,0.5438867720552856,
8,1,SYNTHW0000009,0,1.5,1.0,0.3,0.2,0.0,neutral,consolidating,1,0.5583989175168096,
8,1,SYNTHW0000009,1,1.5,1.0,0.3,0.2,0.0,neutral,consolidating,1,0.5583989175168096,
8,1,SYNTHW0000009,2,1.5,1.0,0.3,0.2,0.0,neutral,consolidating,0,0.5583989175168096,
9,1,SYNTHW0000011,0,-0.7,-1.0,0.3,0.0,-0.7333333333333333,consolidating,neutral,0,0.5583989175168096,
9,1,SYNTHW0000011,1,1.5,1.0,0.3,0.2,1.4666666666666666,neutral,consolidating,1,0.5583989175168096,
9,1,SYNTHW0000011,2,-0.7,-1.0,0.3,0.0,-0.7333333333333333,consolidating,neutral,0,0.5583989175168096,
10,1,SYNTHW0000023,0,-0.7,-1.0,0.3,0.0,-1.4666666666666666,disruptive,consolidating,0,0.5728119915700138,
10,1,SYNTHW0000023,1,1.5,1.0,0.3,0.2,0.7333333333333334,neutral,disruptive,0,0.5728119915700138,
10,1,SYNTHW0000023,2,1.5,1.0,0.3,0.2,0.7333333333333334,neutral,disruptive,1,0.5728119915700138,
11,1,SYNTHW0000029,0,-0.7,-1.0,0.3,0.0,-0.7333333333333333,neutral,disruptive,0,0.5799740014227683,
11,1,SYNTHW0000029,1,-0.7,-1.0,0.3,0.0,-0.7333333333333333,neutral,consolidating,0,0.5799740014227683,
11,1,SYNTHW0000029,2,1.5,1.0,0.3,0.2,1.4666666666666666,consolidating,neutral,1,0.5799740014227683,
12,1,SYNTHW0000034,0,1.5,1.0,0.3,0.2,0.0,neutral,consolidating,1,0.5941946464281866,
12,1,SYNTHW0000034,1,1.5,1.0,0.3,0.2,0.0,neutral,consolidating,0,0.5941946464281866,
12,1,SYNTHW0000034,2,1.5,1.0,0.3,0.2,0.0,consolidating,consolidating,0,0.5941946464281866,
13,2,SYNTHW0000019,0,1.5,1.0,0.3,0.2,0.7333333333333334,neutral,disruptive,1,0.5941946464281866,
13,2,SYNTHW0000019,1,-0.7,-1.0,0.3,0.0,-1.4666666666666666,neutral,neutral,0,0.5941946464281866,
13,2,SYNTHW0000019,2,1.5,1.0,0.3,0.2,0.7333333333333334,disruptive,disruptive,0,0.5941946464281866,
14,2,SYNTHW0000007,0,-0.7,-1.0,0.3,0.0,-0.7333333333333333,neutral,neutral,0,0.6012477222307973,
14,2,SYNTHW0000007,1,-0.7,-1.0,0.3,0.0,-0.7333333333333333,neutral,disruptive,0,0.6012477222307973,
14,2,SYNTHW0000007,2,1.5,1.0,0.3,0.2,1.4666666666666666,consolidating,consolidating,0,0.6012477222307973,
15,2,SYNTHW0000004,0,1.5,1.0,0.3,0.2,0.0,consolidating,neutral,0,0.6012477222307973,
15,2,SYNTHW0000004,1,1.5,1.0,0.3,0.2,0.0,disruptive,neutral,1,0.6012477222307973,
15,2,SYNTHW0000004,2,1.5,1.0,0.3,0.2,0.0,neutral,neutral,0,0.6012477222307973,
16,2,SYNTHW0000020,0,-0.7,-1.0,0.3,0.0,-0.7333333333333333,neutral,disruptive,0,0.6012477222307973,
16,2,SYNTHW0000020,1,1.5,1.0,0.3,0.2,1.4666666666666666,consolidating,consolidating,0,0.6012477222307973,
16,2,SYNTHW0000020,2,-0.7,-1.0,0.3,0.0,-0.7333333333333333,consolidating,neutral,0,0.6012477222307973,
17,2,SYNTHW0000026,0,-0.7,-1.0,0.3,0.0,-0.7333333333333333,neutral,disruptive,0,0.6012477222307973,
17,2,SYNTHW0000026,1,-0.7,-1.0,0.3,0.0,-0.7333333333333333,neutral,disruptive,0,0.6012477222307973,
17,2,SYNTHW0000026,2,1.5,1.0,0.3,0.2,1.4666666666666666,consolidating,neutral,0,0.6012477222307973,
18,2,SYNTHW0000035,0,1.5,1.0,0.3,0.2,0.7333333333333334,consolidating,consolidating,0,0.6012477222307973,
18,2,SYNTHW0000035,1,1.5,1.0,0.3,0.2,0.7333333333333334,consolidating,consolidating,0,0.6012477222307973,
18,2,SYNTHW0000035,2,-0.7,-1.0,0.3,0.0,-1.4666666666666666,consolidating,neutral,0,0.6012477222307973,
19,2,SYNTHW0000022,0,1.5,1.0,0.3,0.2,1.4666666666666666,neutral,consolidating,1,0.6012477222307973,
19,2,SYNTHW0000022,1,-0.7,-1.0,0.3,0.0,-0.7333333333333333,consolidating,neutral,0,0.6012477222307973,
19,2,SYNTHW0000022,2,-0.7,-1.0,0.3,0.0,-0.7333333333333333,neutral,neutral,0,0.6012477222307973,
20,2,SYNTHW0000009,0,1.5,1.0,0.3,0.2,0.0,consolidating,consolidating,0,0.6152259531992359,
20,2,SYNTHW0000009,1,1.5,1.0,0.3,0.2,0.0,consolidating,consolidating,0,0.6152259531992359,
20,2,SYNTHW0000009,2,1.5,1.0,0.3,0.2,0.0,neutral,consolidating,0,0.6152259531992359,
