disruption_scale,disruption_neutral_bias,novelty_scale,novelty_balanced_bias,joint_exact_match_accuracy,disruption_accuracy,novelty_accuracy
5.0,0.5,3.0,0.5,1.0,1.0,1.0
8.0,1.0,3.0,0.5,1.0,1.0,1.0
5.0,0.5,5.0,0.5,0.9166666666666666,1.0,0.9166666666666666
5.0,0.5,5.0,1.0,0.9166666666666666,1.0,0.9166666666666666
5.0,0.5,8.0,0.5,0.9166666666666666,1.0,0.9166666666666666
5.0,0.5,8.0,1.0,0.9166666666666666,1.0,0.9166666666666666
8.0,1.0,5.0,0.5,0.9166666666666666,1.0,0.9166666666666666
8.0,1.0,5.0,1.0,0.9166666666666666,1.0,0.9166666666666666
8.0,1.0,8.0,0.5,0.9166666666666666,1.0,0.9166666666666666
8.0,1.0,8.0,1.0,0.9166666666666666,1.0,0.9166666666666666
3.0,0.5,3.0,0.5,0.9166666666666666,0.9166666666666666,1.0
8.0,0.5,3.0,0.5,0.9166666666666666,0.9166666666666666,1.0
3.0,0.5,5.0,0.5,0.9166666666666666,0.9166666666666666,0.9166666666666666
3.0,0.5,8.0,0.5,0.9166666666666666,0.9166666666666666,0.9166666666666666
3.0,0.5,8.0,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666
5.0,0.5,3.0,0.0,0.8333333333333334,1.0,0.8333333333333334
5.0,0.5,3.0,1.0,0.8333333333333334,1.0,0.8333333333333334
5.0,0.5,5.0,0.0,0.8333333333333334,1.0,0.8333333333333334
5.0,0.5,8.0,0.0,0.8333333333333334,1.0,0.8333333333333334
8.0,1.0,3.0,0.0,0.8333333333333334,1.0,0.8333333333333334
8.0,1.0,3.0,1.0,0.8333333333333334,1.0,0.8333333333333334
8.0,1.0,5.0,0.0,0.8333333333333334,1.0,0.8333333333333334
8.0,1.0,8.0,0.0,0.8333333333333334,1.0,0.8333333333333334
3.0,0.5,5.0,1.0,0.8333333333333334,0.9166666666666666,0.9166666666666666
8.0,0.5,5.0,0.5,0.8333333333333334,0.9166666666666666,0.9166666666666666
8.0,0.5,5.0,1.0,0.8333333333333334,0.9166666666666666,0.9166666666666666
8.0,0.5,8.0,0.5,0.8333333333333334,0.9166666666666666,0.9166666666666666
8.0,0.5,8.0,1.0,0.8333333333333334,0.9166666666666666,0.9166666666666666
3.0,0.5,3.0,0.0,0.8333333333333334,0.9166666666666666,0.8333333333333334
3.0,0.5,5.0,0.0,0.8333333333333334,0.9166666666666666,0.8333333333333334
3.0,0.5,8.0,0.0,0.8333333333333334,0.9166666666666666,0.8333333333333334
3.0,0.0,3.0,0.5,0.8333333333333334,0.8333333333333334,1.0
3.0,1.0,3.0,0.5,0.8333333333333334,0.8333333333333334,1.0
5.0,0.0,3.0,0.5,0.8333333333333334,0.8333333333333334,1.0
5.0,1.0,3.0,0.5,0.8333333333333334,0.8333333333333334,1.0
8.0,0.0,3.0,0.5,0.8333333333333334,0.8333333333333334,1.0
3.0,1.0,5.0,0.5,0.8333333333333334,0.8333333333333334,0.9166666666666666
3.0,1.0,8.0,0.5,0.8333333333333334,0.8333333333333334,0.9166666666666666
3.0,1.0,8.0,1.0,0.8333333333333334,0.8333333333333334,0.9166666666666666
5.0,1.0,5.0,0.5,0.8333333333333334,0.8333333333333334,0.9166666666666666
5.0,1.0,8.0,0.5,0.8333333333333334,0.8333333333333334,0.9166666666666666
5.0,1.0,8.0,1.0,0.8333333333333334,0.8333333333333334,0.9166666666666666
3.0,0.5,3.0,1.0,0.75,0.9166666666666666,0.8333333333333334
